index,zenith_deg,relative_azimuth_deg,absolute_azimuth_deg,reference_intensity,model_intensity,normalized_reference,normalized_model,reference_dop,model_dop,dop_abs_error,reference_aop_deg,model_aop_deg,aop_abs_error_deg,signed_dolp_bias,first_frac,second_frac,higher_frac,second_rr_frac,second_ar_frac,second_ra_frac,second_aa_frac,model_q,model_u,model_v,model_calibration_applied,model_calibration_intensity_gain,model_calibration_dolp_scale,model_calibration_aop_offset_deg,raw_model_intensity,raw_model_dop,raw_model_aop_deg,raw_model_q,raw_model_u,raw_model_v
10,3.312805,103.729008,39.714102,756.4444,756.4444,0.03263274825899149,0.03263274825899149,0.452738,0.45273800000000003,5.551115123125783e-17,75.820144,75.82014399999998,1.4210854715202004e-14,5.551115123125783e-17,0.28703460045,0.71181206918,0.001153330374,0.56105246055,0.36337476638,0.050441877539,0.025130895533,-301.36869739522825,162.6756881946852,0.0,1.0,1401674203.0289495,0.5243763918823438,73.38782566339141,5.3967205672e-07,0.863383643902837,2.432318336608589,4.6426561552e-07,3.9512964922e-08,0.0
11,3.194998,114.944475,50.929569,767.3333,767.3333,0.0331024916168871,0.0331024916168871,0.481059,0.481059,0.0,57.043868,57.043868,0.0,0.0,0.2510317669,0.74877301967,0.00019521342518,0.54899849096,0.37439199779,0.049425077474,0.02718443378,-150.6559522876459,336.98909925151867,0.0,1.0,1249351635.1352286,0.5521833886050154,43.92422795895815,6.1418521289e-07,0.8711942624990995,13.119640041041853,4.7993812325e-07,2.365676676e-07,0.0
12,3.135353,125.278465,61.263559,757.3333,757.3333,0.03267109509575493,0.03267109509575493,0.509903,0.509903,0.0,52.157737,52.157737,0.0,0.0,0.22416378288,0.77566062547,0.00017559165011,0.55838588349,0.36479927344,0.049828817519,0.026986025545,-95.48380754202428,374.17566056052743,0.0,1.0,1105471927.6787703,0.5814563551302692,29.07124917741666,6.8507691696e-07,0.8769411418433317,23.086487822583337,4.1602480504e-07,4.3341725664e-07,0.0
13,3.230062,134.591503,70.576597,719.2,719.2,0.03102603779982598,0.03102603779982598,0.503888,0.5038880000000001,1.1102230246251565e-16,42.224552,42.224552,0.0,1.1102230246251565e-16,0.2088754153,0.79101939027,0.00010519442918,0.56159361815,0.36175381873,0.049672858875,0.026979704243,35.05456305705706,360.6968524024355,0.0,1.0,982148163.242984,0.5719347603983377,9.935925182230186,7.3227240748e-07,0.8810235622836687,32.28862681776982,2.7695852112e-07,5.8267617585e-07,0.0
14,2.954861,144.75884,80.743934,743.2727,743.2727,0.03206452570325183,0.03206452570325183,0.481287,0.4812870000000001,5.551115123125783e-17,30.892489,30.892489,0.0,5.551115123125783e-17,0.20513647619,0.79443190416,0.00043161965585,0.5686240215,0.35478161988,0.050056569042,0.026537789577,169.12704986397114,315.2221385784753,0.0,1.0,998315002.2658306,0.5462412539429737,-11.36716527816014,7.4452722669e-07,0.8810887067314862,42.25965427816014,6.2654234924e-08,6.5299561402e-07,0.0
15,3.295857,154.683082,90.668176,754.4,754.4,0.03254455355421123,0.03254455355421123,0.49175,0.49174999999999996,5.551115123125783e-17,19.408901,19.408901000000004,3.552713678800501e-15,-5.551115123125783e-17,0.19930036212,0.79896804638,0.0017315914928,0.57377708826,0.34979267699,0.050192241611,0.02623799314,289.04359817548334,232.54491893010623,0.0,1.0,989168109.4124215,0.5571990920579168,-32.90455002356246,7.6266106117e-07,0.8825391265154577,52.31345102356246,-1.6996820303e-07,6.5126423922e-07,0.0
16,3.205123,165.350741,101.335835,694.4,694.4,0.029956174427418183,0.029956174427418183,0.498574,0.4985740000000001,5.551115123125783e-17,10.151381,10.151380999999999,1.7763568394002505e-15,5.551115123125783e-17,0.20129433722,0.79778278837,0.00092287441134,0.58083431304,0.34286313988,0.050563663499,0.025738883583,324.70053644802755,120.12817019983751,0.0,1.0,920202051.7249398,0.5644044466792222,-52.73247020137829,7.5461687865e-07,0.883362990730233,62.88385120137829,-3.8962832124e-07,5.4087536603e-07,0.0
17,3.066242,175.067292,111.052386,696.8,696.8,0.030059709592489905,0.030059709592489905,0.48681,0.48681,0.0,1.248742,1.2487420000000153,1.532107773982716e-14,0.0,0.20385508647,0.79518465301,0.00096026051623,0.5869077293,0.3369157025,0.050873427316,0.02530314089,338.88700540326136,14.78121648570129,0.0,1.0,935191918.3245449,0.5516029465859037,-71.1647707342766,7.4508770483e-07,0.8825369824673096,72.41351273427661,-5.3750661949e-07,3.7878964014e-07,0.0
18,3.248676,185.3406,121.325694,756.0,756.0,0.032613576997592375,0.032613576997592375,0.47575,0.47574999999999995,5.551115123125783e-17,-14.598466,-14.598466000000007,7.105427357601002e-15,-5.551115123125783e-17,0.20812979054,0.79109827249,0.00077193697398,0.59388547004,0.33003429719,0.051284705534,0.024795527237,313.97065999542923,-175.4502081817932,0.0,1.0,1036875403.59385,0.5391536846820756,82.72870406213487,7.2911364025e-07,0.8824014627304958,82.67282993786513,-6.2244187304e-07,1.6276450638e-07,0.0
19,3.202815,203.855079,139.840173,750.1538,750.1538,0.03236137396340809,0.03236137396340809,0.49568,0.49568000000000006,5.551115123125783e-17,-24.13302,-24.13302000000001,1.0658141036401503e-14,5.551115123125783e-17,0.2127091362,0.78613293726,0.0011579265474,0.6046965709,0.31942116363,0.05187131655,0.024010948921,247.5212608475493,-277.48047052309727,0.0,1.0,1049283575.6930648,0.5626938171090384,55.08518929880741,7.1491998672e-07,0.8809053608348917,-79.21820929880741,-5.8569894797e-07,-2.31464083e-07,0.0
20,3.043794,214.533226,150.51832,733.8182,733.8182,0.03165666186234741,0.03165666186234741,0.480448,0.48044799999999993,5.551115123125783e-17,-37.316008,-37.316008,0.0,-5.551115123125783e-17,0.21556516064,0.78421475416,0.000220085204,0.60918490546,0.31494688735,0.052189238453,0.02367896873,93.43491242219831,-339.9551719588046,0.0,1.0,1036444268.1435988,0.5459396779055468,31.557715045228775,7.0801510757e-07,0.8800386186312739,-68.87372304522877,-4.6119690828e-07,-4.189592967e-07,0.0
21,3.268784,224.762651,160.747745,791.1111,791.1111,0.03412825763690477,0.03412825763690477,0.527343,0.5273429999999999,1.1102230246251565e-16,-49.567244,-49.567244,0.0,-1.1102230246251565e-16,0.21882567952,0.78113084476,4.3475727188e-05,0.61493812868,0.30919032505,0.052618570101,0.023252976175,-66.22941829848688,-411.8963150564034,0.0,1.0,1132235617.4434147,0.6001818742118428,9.293485029721843,6.9871596319e-07,0.8786386638092085,-58.860729029721846,-2.8557884956e-07,-5.4345293052e-07,0.0
22,3.17396,234.512551,170.497645,768.0,768.0,0.033131252822950985,0.033131252822950985,0.48669,0.48669000000000007,5.551115123125783e-17,-57.849208,-57.849208,0.0,5.551115123125783e-17,0.22130066653,0.77793602473,0.00076330874442,0.61601537277,0.30795928682,0.052869849796,0.023155490618,-162.0828793118232,-336.80717586404745,0.0,1.0,1107073997.0130818,0.5555430743615564,-8.449700017547947,6.9372056617e-07,0.876061681732449,-49.39950798245205,-9.2965604108e-08,-6.0058949552e-07,0.0
23,3.016761,244.324624,180.309718,799.2,799.2,0.03447720996888337,0.03447720996888337,0.483747,0.483747,0.0,-68.883499,-68.883499,0.0,0.0,0.22645298324,0.77329712193,0.00024989483327,0.61555199003,0.30824186248,0.053056338513,0.023149808981,-286.25328148436677,-259.85922482667957,0.0,1.0,1173631908.832591,0.5538109306472672,-29.06384374317433,6.8096308049e-07,0.8734876349129118,-39.81965525682567,1.0697368318e-07,-5.8511446282e-07,0.0
24,3.065903,254.499484,190.484578,812.0,812.0,0.03502939751593255,0.03502939751593255,0.480972,0.48097200000000007,5.551115123125783e-17,-82.790032,-82.790032,0.0,5.551115123125783e-17,0.2356010943,0.76312372182,0.0012751838833,0.61659104555,0.30694609324,0.053455557163,0.02300730405,-378.2456230453658,-97.25726840686393,0.0,1.0,1235613187.7785897,0.5535082243587307,-53.03121041304405,6.5716359135e-07,0.868951858045528,-29.758821586955943,2.8967497065e-07,-4.9211697531e-07,0.0
25,3.155899,265.005066,200.99016,796.8,796.8,0.03437367480381165,0.03437367480381165,0.498914,0.498914,0.0,87.821941,87.821941,0.0,0.0,0.24928639176,0.75042270612,0.00029090212801,0.61752189301,0.30585596424,0.053789700398,0.022832442352,-396.38628409748304,30.194896352842985,0.0,1.0,1275903579.2134025,0.5759932432829964,-72.88048814536512,6.2449860082e-07,0.866180299540205,-19.29757085463489,4.2277522107e-07,-3.3743833552e-07,0.0
26,3.146537,274.744719,210.729813,796.8,796.7999999999998,0.03437367480381165,0.03437367480381164,0.413474,0.41347399999999995,5.551115123125783e-17,79.829898,79.829898,0.0,-5.551115123125783e-17,0.27248814505,0.72199391724,0.0055179377084,0.61532984751,0.30803682676,0.053876317718,0.022757008014,-308.9129353526131,114.51685085312798,0.0,1.0,1387911291.4046955,0.48248676058501566,89.0843790793569,5.7410009194e-07,0.8569644470630912,-9.254481079356907,4.6653504161e-07,-1.5618159043e-07,0.0
27,3.282025,283.827712,219.812806,780.8,780.8,0.03368344037000017,0.03368344037000017,0.503978,0.5039779999999999,1.1102230246251565e-16,69.011322,69.011322,0.0,-1.1102230246251565e-16,0.30144029158,0.69697250119,0.0015872072339,0.61557832698,0.30814734007,0.053889813522,0.022384519426,-292.5360036496492,263.19133008851503,0.0,1.0,1495860100.767348,0.588900675761518,68.78903851632624,5.2197394636e-07,0.8557945690048615,0.2222834836737607,4.4668902177e-07,3.4659999522e-09,0.0
