index,zenith_deg,relative_azimuth_deg,intensity_gain,dolp_scale,aop_offset_deg,source_reference_intensity,source_model_intensity,source_reference_dop,source_model_dop,source_reference_aop_deg,source_model_aop_deg
279,35.534928,284.955375,1.70234420847467113e+09,3.74436726099525885e-01,5.75175392435918837e+01,1.24481099999999992e+03,7.31233433169999965e-07,2.92864999999999986e-01,7.82148169734172893e-01,5.67298100000000005e+01,-7.87729243591881900e-01
280,35.572876,294.914943,2.32747775871719980e+09,3.55585405588509484e-01,3.55413009028129068e+01,1.36758699999999999e+03,5.87583273299999997e-07,2.37634000000000012e-01,6.68289519944456956e-01,4.58594080000000019e+01,1.03181070971870952e+01
281,35.601892,305.039149,3.19271551071430445e+09,3.62663587326430781e-01,8.71351277002650448e+00,1.51629899999999998e+03,4.74924557140000021e-07,1.85568000000000011e-01,5.11680815181954407e-01,3.62321060000000017e+01,2.75185932299734972e+01
282,35.517483,314.998523,3.16697376085733366e+09,3.48837866206741010e-01,-1.36620460356676574e+01,1.66700700000000006e+03,5.26372217100000038e-07,1.50269000000000014e-01,4.30770322138543660e-01,2.84349479999999986e+01,4.20969940356676560e+01
283,35.583107,325.013702,2.85388933017271328e+09,2.78874727267182876e-01,-2.96930954061112580e+01,1.77903999999999996e+03,6.23373857280000047e-07,1.07758000000000007e-01,3.86402887977582044e-01,2.45018819999999984e+01,5.41949774061112564e+01
284,35.596746,335.019472,2.55203387796379423e+09,3.02177981773687210e-01,-4.35878936761856792e+01,1.84698000000000002e+03,7.23728636969999961e-07,1.08459000000000000e-01,3.58924231882748968e-01,2.29334169999999986e+01,6.65213106761856778e+01
285,35.563271,345.01395,2.30424896533284330e+09,3.35182234021562331e-01,-5.83890150187034180e+01,1.82294000000000005e+03,7.91121110359999970e-07,1.18097999999999995e-01,3.52339676787292777e-01,2.01403539999999985e+01,7.85293690187034201e+01
286,35.576727,355.000496,2.15867798906577826e+09,3.61392750044714162e-01,-7.53698577708277924e+01,1.77141300000000001e+03,8.20600853379999997e-07,1.28901999999999989e-01,3.56681200671710441e-01,1.42911389999999994e+01,8.96609967708277935e+01
287,40.307642,5.004451,1.09760903052701545e+09,4.21714889439899210e-01,8.77024660675623693e+01,1.88474399999999991e+03,1.71713601800000004e-06,1.31733999999999990e-01,3.12376924075321472e-01,1.15618400000000001e+01,-7.61406260675623656e+01
288,40.324163,14.954901,9.77431430451721787e+08,5.90615893789521507e-01,6.95545770373371255e+01,1.69537699999999995e+03,1.73452269609999990e-06,1.90826999999999997e-01,3.23098314838112466e-01,2.43089999999999984e+00,-6.71236770373371314e+01
289,40.345349,24.907833,1.07234544849350119e+09,7.19586245315741113e-01,5.16009964967752879e+01,1.51406899999999996e+03,1.41192281100000004e-06,2.48720999999999998e-01,3.45644461131779712e-01,-7.60867999999999967e+00,-5.92096764967752875e+01
290,40.315097,34.986012,1.39442058518454814e+09,7.95699392929233751e-01,3.10693560291401489e+01,1.34627900000000000e+03,9.65475563330000104e-07,3.03493000000000013e-01,3.81416653948599194e-01,-1.96166739999999997e+01,-5.06860300291401487e+01
291,40.327375,44.984633,1.85847457451670480e+09,8.55313590838279070e-01,6.70613253353207028e+00,1.19316300000000001e+03,6.42012011549999992e-07,3.84070000000000022e-01,4.49039982661305792e-01,-3.31902860000000004e+01,-3.98964185335320707e+01
292,40.305912,55.009012,2.25092097967857838e+09,9.59492445816821582e-01,-1.62914761452403063e+01,1.08309799999999996e+03,4.81179930249999957e-07,4.51884999999999981e-01,4.70962540632936022e-01,-4.57022139999999979e+01,-2.94107378547596916e+01
293,40.352999,64.995002,2.46133219730261374e+09,8.60992750838173060e-01,-3.59409021841283831e+01,9.88558099999999968e+02,4.01635383099999991e-07,5.04511999999999960e-01,5.85965444550908821e-01,-5.93808330000000026e+01,-2.34399308158716195e+01
294,40.310762,75.040653,2.06698160367970204e+09,1.00820814761010302e+00,-6.80084796222352850e+01,9.40459799999999973e+02,4.54991857849999984e-07,5.25437999999999961e-01,5.21160239823015958e-01,-7.21788339999999948e+01,-4.17035437776470630e+00
295,40.318658,85.032755,3.09192748441815996e+09,9.79585816629091055e-01,-8.04198068676268747e+01,8.89479799999999955e+02,2.87678092219999980e-07,5.64294999999999991e-01,5.76054685991501891e-01,-8.53020199999999988e+01,-4.88221313237312327e+00
296,40.304815,95.021669,3.67403025902885056e+09,9.20623483800239617e-01,7.94525326713058462e+01,8.70325600000000009e+02,2.36885800779999988e-07,5.60324000000000044e-01,6.08635354039677390e-01,8.11497999999999990e+01,1.69726732869414887e+00
297,40.279297,105.006629,3.96600177163009071e+09,9.31608810103700336e-01,6.00126648837654741e+01,8.50139499999999998e+02,2.14356812970000000e-07,5.28527999999999998e-01,5.67328254378753560e-01,6.89444689999999980e+01,8.93180411623452564e+00
298,40.297013,115.173834,3.87447212477489424e+09,1.05737177102587254e+00,4.23338903230800838e+01,8.50380999999999972e+02,2.19483060559999991e-07,4.97242999999999991e-01,4.70263169138296522e-01,5.76976250000000022e+01,1.53637346769199166e+01
299,40.316634,124.976985,2.66590256681229448e+09,1.08874823039456814e+00,3.52378353885067810e+01,8.70612700000000018e+02,3.26573337990000012e-07,4.61353999999999986e-01,4.23747187017519011e-01,4.71197829999999982e+01,1.18819476114932154e+01
300,40.3,135.031231,1.99304091166046500e+09,1.57950846417991286e+00,1.54220928210327664e+01,8.76643699999999967e+02,4.39852335629999983e-07,4.14524999999999977e-01,2.62439239422007808e-01,3.68684960000000004e+01,2.14464031789672340e+01
301,40.325406,145.045698,1.95557559659511209e+09,2.08333295363783710e+00,-2.06931863829877685e+01,8.89241399999999999e+02,4.54721055809999979e-07,3.74450000000000005e-01,1.79736032757581848e-01,2.73856660000000005e+01,4.80788523829877690e+01
302,40.314479,155.051114,1.84745408795135546e+09,1.59599695390922203e+00,-5.48492086374285037e+01,8.88000000000000000e+02,4.80661471260000052e-07,3.72472999999999999e-01,2.33379518104760569e-01,1.90523249999999997e+01,7.39015336374284999e+01
303,40.333645,165.04592,1.62220827118216324e+09,1.27490287745642017e+00,-7.50009343680003155e+01,8.87398800000000051e+02,5.47031361980000030e-07,3.64348000000000005e-01,2.85784906789854243e-01,1.03380849999999995e+01,8.53390193680003080e+01
