zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg
16.638964,224.976076,7.427246e+02,-9.700062e+01,-3.899794e+02,0.541065,-51.983941
16.688541,234.948398,7.542857e+02,-2.317711e+02,-3.134345e+02,0.516806,-63.240654
16.564558,245.073557,7.821714e+02,-3.178762e+02,-1.694952e+02,0.460566,-75.966480
16.712680,255.039947,8.098551e+02,-3.773226e+02,-8.690751e+01,0.478113,-83.514727
16.632339,264.947867,8.393143e+02,-3.602240e+02,5.553096e+01,0.434258,85.618226
16.691813,274.954761,8.785143e+02,-3.084870e+02,1.706380e+02,0.401286,75.525528
16.667818,285.269564,9.213867e+02,-2.423638e+02,2.877393e+02,0.408309,65.053776
16.655979,295.256566,9.557647e+02,-1.237244e+02,3.217845e+02,0.360707,55.515744
16.702403,305.142770,9.832000e+02,-4.402743e+01,3.269555e+02,0.335544,48.834623
16.646985,315.042291,1.008116e+03,9.226725e+01,3.160487e+02,0.326591,36.862683
16.685176,325.021144,1.044000e+03,1.462025e+02,2.752644e+02,0.298546,31.012840
16.630886,334.987281,1.042235e+03,2.521184e+02,2.098522e+02,0.314734,19.886249
16.661423,344.936044,1.041127e+03,2.765776e+02,1.326174e+02,0.294612,12.808728
16.684682,354.942574,1.029714e+03,3.048679e+02,3.597961e+01,0.298125,3.365373
21.392434,4.994675,1.118400e+03,3.021333e+02,-4.856028e+01,0.273615,-4.565379
21.438142,14.823849,1.083494e+03,2.814881e+02,-1.286064e+02,0.285627,-12.277363
21.432293,24.795370,1.031660e+03,2.625641e+02,-2.319956e+02,0.339622,-20.731539
21.422197,34.970109,9.760889e+02,1.704160e+02,-3.466574e+02,0.395744,-31.910689
21.463620,44.978509,9.217391e+02,2.617366e+01,-3.846086e+02,0.418229,-43.053435
21.408444,55.035491,8.669565e+02,-1.140505e+02,-3.678214e+02,0.444195,-53.613552
21.381165,65.075577,8.395556e+02,-2.444611e+02,-3.196977e+02,0.479364,-63.701905
21.421200,74.971702,7.904889e+02,-3.474492e+02,-2.093213e+02,0.513139,-74.466536
21.405409,84.992367,7.522609e+02,-3.990585e+02,-6.187910e+01,0.536819,-85.592879
21.440216,95.035224,7.465495e+02,-3.989954e+02,1.024429e+02,0.551788,82.800116
21.348001,104.988564,7.295455e+02,-3.231226e+02,2.546412e+02,0.563913,70.879822
21.394317,115.216142,7.171818e+02,-2.131425e+02,3.181595e+02,0.533973,61.909528
21.389247,125.050140,7.120879e+02,-8.242633e+01,3.737414e+02,0.537466,51.218565
21.456861,134.977146,7.062857e+02,6.025371e+01,3.827863e+02,0.548644,40.527286
21.385196,144.953195,7.029565e+02,2.028613e+02,3.343530e+02,0.556338,29.376825
21.380731,155.067620,7.077802e+02,3.007316e+02,2.278694e+02,0.533091,18.575913
21.409619,165.012388,7.104719e+02,3.643961e+02,1.358298e+02,0.547366,10.221549
