wavelength_nm,angle_deg,f11,f12,f22,f33,f34,f44
375,100,1.946374309e-02,-5.550266803e-04,1.946374309e-02,1.945582793e-02,0.000000000e+00,1.945582793e-02
375,105,1.803888380e-02,-4.894175824e-04,1.803888380e-02,1.803224332e-02,0.000000000e+00,1.803224332e-02
375,110,1.688612538e-02,-4.271125315e-04,1.688612538e-02,1.688072288e-02,0.000000000e+00,1.688072288e-02
375,115,1.595706329e-02,-3.684054828e-04,1.595706329e-02,1.595280998e-02,0.000000000e+00,1.595280998e-02
375,120,1.521354138e-02,-3.133962351e-04,1.521354138e-02,1.521031309e-02,0.000000000e+00,1.521031309e-02
375,125,1.462491260e-02,-2.619978478e-04,1.462491260e-02,1.462256563e-02,0.000000000e+00,1.462256563e-02
375,130,1.416601004e-02,-2.140152772e-04,1.416601004e-02,1.416439331e-02,0.000000000e+00,1.416439331e-02
375,135,1.381563589e-02,-1.693136348e-04,1.381563589e-02,1.381459837e-02,0.000000000e+00,1.381459837e-02
375,140,1.355544678e-02,-1.280529512e-04,1.355544678e-02,1.355484194e-02,0.000000000e+00,1.355484194e-02
375,145,1.336916226e-02,-9.089293155e-05,1.336916226e-02,1.336885328e-02,0.000000000e+00,1.336885328e-02
375,150,1.324205474e-02,-5.900609970e-05,1.324205474e-02,1.324192327e-02,0.000000000e+00,1.324192327e-02
375,155,1.316069505e-02,-3.375737995e-05,1.316069505e-02,1.316065176e-02,0.000000000e+00,1.316065176e-02
375,160,1.311293024e-02,-1.606996779e-05,1.311293024e-02,1.311292039e-02,0.000000000e+00,1.311292039e-02
375,165,1.308805917e-02,-5.754172368e-06,1.308805917e-02,1.308805790e-02,0.000000000e+00,1.308805790e-02
375,170,1.307715229e-02,-1.246232087e-06,1.307715229e-02,1.307715223e-02,0.000000000e+00,1.307715223e-02
375,175,1.307344057e-02,-8.243604907e-08,1.307344057e-02,1.307344057e-02,0.000000000e+00,1.307344057e-02
375,180,1.307268497e-02,-0.000000000e+00,1.307268497e-02,1.307268497e-02,0.000000000e+00,1.307268497e-02
400,0,2.419885575e+00,-0.000000000e+00,2.419885575e+00,2.419885575e+00,0.000000000e+00,2.419885575e+00
400,5,1.947122368e+00,-2.010496082e-05,1.947122368e+00,1.947122368e+00,0.000000000e+00,1.947122368e+00
400,10,1.224347740e+00,-1.841782978e-04,1.224347740e+00,1.224347726e+00,0.000000000e+00,1.224347726e+00
400,15,7.583774380e-01,-4.971742588e-04,7.583774380e-01,7.583772750e-01,0.000000000e+00,7.583772750e-01
400,20,4.948342600e-01,-8.422187797e-04,4.948342600e-01,4.948335433e-01,0.000000000e+00,4.948335433e-01
400,25,3.393751025e-01,-1.119112553e-03,3.393751025e-01,3.393732573e-01,0.000000000e+00,3.393732573e-01
400,30,2.420694782e-01,-1.286748236e-03,2.420694782e-01,2.420660582e-01,0.000000000e+00,2.420660582e-01
400,35,1.782530878e-01,-1.354830206e-03,1.782530878e-01,1.782479389e-01,0.000000000e+00,1.782479389e-01
400,40,1.348895203e-01,-1.354505184e-03,1.348895203e-01,1.348827195e-01,0.000000000e+00,1.348827195e-01
400,45,1.045703914e-01,-1.315356748e-03,1.045703914e-01,1.045621183e-01,0.000000000e+00,1.045621183e-01
400,50,8.285122192e-02,-1.257013521e-03,8.285122192e-02,8.284168571e-02,0.000000000e+00,8.284168571e-02
400,55,6.695868758e-02,-1.190015701e-03,6.695868758e-02,6.694811204e-02,0.000000000e+00,6.694811204e-02
400,60,5.510874056e-02,-1.119283348e-03,5.510874056e-02,5.509737281e-02,0.000000000e+00,5.509737281e-02
400,65,4.612423970e-02,-1.046939247e-03,4.612423970e-02,4.611235632e-02,0.000000000e+00,4.611235632e-02
400,70,3.921103427e-02,-9.739096992e-04,3.921103427e-02,3.919893760e-02,0.000000000e+00,3.919893760e-02
400,75,3.382251794e-02,-9.006837947e-04,3.382251794e-02,3.381052334e-02,0.000000000e+00,3.381052334e-02
400,80,2.957552001e-02,-8.276456581e-04,2.957552001e-02,2.956393726e-02,0.000000000e+00,2.956393726e-02
400,85,2.619687839e-02,-7.552123709e-04,2.619687839e-02,2.618599037e-02,0.000000000e+00,2.618599037e-02
400,90,2.348880028e-02,-6.838777523e-04,2.348880028e-02,2.347884260e-02,0.000000000e+00,2.347884260e-02
400,95,2.130597303e-02,-6.142026857e-04,2.130597303e-02,2.129711816e-02,0.000000000e+00,2.129711816e-02
400,100,1.954016486e-02,-5.467728019e-04,1.954016486e-02,1.953251347e-02,0.000000000e+00,1.953251347e-02
400,105,1.810968328e-02,-4.821386466e-04,1.810968328e-02,1.810326410e-02,0.000000000e+00,1.810326410e-02
400,110,1.695203496e-02,-4.207511647e-04,1.695203496e-02,1.694681262e-02,0.000000000e+00,1.694681262e-02
400,115,1.601872760e-02,-3.629044692e-04,1.601872760e-02,1.601461627e-02,0.000000000e+00,1.601461627e-02
400,120,1.527152650e-02,-3.087003257e-04,1.527152650e-02,1.526840613e-02,0.000000000e+00,1.526840613e-02
400,125,1.467971594e-02,-2.580555946e-04,1.467971594e-02,1.467744757e-02,0.000000000e+00,1.467744757e-02
400,130,1.421806988e-02,-2.107798340e-04,1.421806988e-02,1.421650741e-02,0.000000000e+00,1.421650741e-02
400,135,1.386534014e-02,-1.667411396e-04,1.386534014e-02,1.386433751e-02,0.000000000e+00,1.386433751e-02
400,140,1.360314081e-02,-1.260974001e-04,1.360314081e-02,1.360255635e-02,0.000000000e+00,1.360255635e-02
400,145,1.341515582e-02,-8.949789505e-05,1.341515582e-02,1.341485728e-02,0.000000000e+00,1.341485728e-02
400,150,1.328662805e-02,-5.809616840e-05,1.328662805e-02,1.328650104e-02,0.000000000e+00,1.328650104e-02
400,155,1.320410414e-02,-3.323456735e-05,1.320410414e-02,1.320406231e-02,0.000000000e+00,1.320406231e-02
400,160,1.315541164e-02,-1.582016033e-05,1.315541164e-02,1.315540213e-02,0.000000000e+00,1.315540213e-02
400,165,1.312983415e-02,-5.664453821e-06,1.312983415e-02,1.312983292e-02,0.000000000e+00,1.312983292e-02
400,170,1.311843062e-02,-1.226757759e-06,1.311843062e-02,1.311843056e-02,0.000000000e+00,1.311843056e-02
400,175,1.311442405e-02,-8.114610482e-08,1.311442405e-02,1.311442405e-02,0.000000000e+00,1.311442405e-02
400,180,1.311357069e-02,-0.000000000e+00,1.311357069e-02,1.311357069e-02,0.000000000e+00,1.311357069e-02
425,0,2.422173722e+00,-0.000000000e+00,2.422173722e+00,2.422173722e+00,0.000000000e+00,2.422173722e+00
425,5,1.948119463e+00,-1.973143178e-05,1.948119463e+00,1.948119463e+00,0.000000000e+00,1.948119463e+00
425,10,1.223842323e+00,-1.805893641e-04,1.223842323e+00,1.223842310e+00,0.000000000e+00,1.223842310e+00
425,15,7.575192941e-01,-4.871357014e-04,7.575192941e-01,7.575191375e-01,0.000000000e+00,7.575191375e-01
425,20,4.941676036e-01,-8.250351679e-04,4.941676036e-01,4.941669149e-01,0.000000000e+00,4.941669149e-01
425,25,3.389757224e-01,-1.096466618e-03,3.389757224e-01,3.389739491e-01,0.000000000e+00,3.389739491e-01
425,30,2.418711068e-01,-1.261161108e-03,2.418711068e-01,2.418678188e-01,0.000000000e+00,2.418678188e-01
425,35,1.781798937e-01,-1.328432629e-03,1.781798937e-01,1.781749415e-01,0.000000000e+00,1.781749415e-01
